dataset,model,cpu_load,n_samples,test_accuracy,test_precision,test_f1_score,test_recall,fit_time,emission_time,emissions,energy_consumed
Test 3,Neural,99.5,45312.000000,0.821861,0.830448,0.829716,0.830740,69.730201,2.911466e+02,6.685212e-04,3.448421e-03
Test 3,Neural,99.5,45312.000000,0.812310,0.823377,0.821645,0.823218,54.512065,2.911466e+02,6.685212e-04,3.448421e-03
Test 3,Neural,99.5,45312.000000,0.820595,0.830192,0.829054,0.830280,46.861053,2.911466e+02,6.685212e-04,3.448421e-03
Test 3,Neural,99.5,45312.000000,0.818332,0.823142,0.823256,0.823439,53.668491,2.911466e+02,6.685212e-04,3.448421e-03
Test 3 (P),Linear,93.5,45312.000000,0.742392,0.760573,0.755441,0.759903,0.123697,2.026833e+00,4.671412e-06,2.409646e-05
Test 3 (P),Linear,93.5,45312.000000,0.744838,0.764322,0.758218,0.762992,0.121983,2.026833e+00,4.671412e-06,2.409646e-05
Test 3 (P),Linear,93.5,45312.000000,0.743752,0.764479,0.757476,0.762635,0.126320,2.026833e+00,4.671412e-06,2.409646e-05
Test 3 (P),Linear,93.5,45312.000000,0.743124,0.761173,0.756138,0.760539,0.130983,2.026833e+00,4.671412e-06,2.409646e-05
Test 3 (P),Linear,93.5,45312.000000,0.741217,0.760332,0.754555,0.759325,0.121803,2.026833e+00,4.671412e-06,2.409646e-05
Test 3 (P),Forest,89.0,45312.000000,0.902681,0.906426,0.906374,0.906543,6.749824,1.431770e+01,3.308215e-05,1.706470e-04
Test 3 (P),Forest,89.0,45312.000000,0.902133,0.907259,0.906899,0.907205,6.750370,1.431770e+01,3.308215e-05,1.706470e-04
Test 3 (P),Forest,89.0,45312.000000,0.902224,0.907091,0.906804,0.907085,6.811498,1.431770e+01,3.308215e-05,1.706470e-04
Test 3 (P),Forest,89.0,45312.000000,0.904153,0.908459,0.908294,0.908519,6.788794,1.431770e+01,3.308215e-05,1.706470e-04
Test 3 (P),Forest,89.0,45312.000000,0.907027,0.911226,0.911065,0.911278,6.641458,1.431770e+01,3.308215e-05,1.706470e-04
Test 3 (P),SupportVector,57.99999999999999,45312.000000,0.784673,0.798124,0.795473,0.797859,37.827250,9.271965e+01,2.149290e-04,1.108664e-03
Test 3 (P),SupportVector,57.99999999999999,45312.000000,0.787638,0.802116,0.798810,0.801390,37.754307,9.271965e+01,2.149290e-04,1.108664e-03
Test 3 (P),SupportVector,57.99999999999999,45312.000000,0.786580,0.801610,0.797988,0.800706,37.670043,9.271965e+01,2.149290e-04,1.108664e-03
Test 3 (P),SupportVector,57.99999999999999,45312.000000,0.790149,0.803681,0.800913,0.803244,37.826419,9.271965e+01,2.149290e-04,1.108664e-03
Test 3 (P),SupportVector,57.99999999999999,45312.000000,0.787100,0.802025,0.798461,0.801148,36.481714,9.271965e+01,2.149290e-04,1.108664e-03
Test 3 (P),Neighbors,55.50000000000001,45312.000000,0.831933,0.837076,0.837163,0.837471,0.143582,3.469606e+00,8.031379e-06,4.142811e-05
Test 3 (P),Neighbors,55.50000000000001,45312.000000,0.823545,0.830584,0.830365,0.831071,0.132776,3.469606e+00,8.031379e-06,4.142811e-05
