dataset,model,cpu_load,test_accuracy,test_precision,test_f1_score,test_recall,fit_time,emission_time,emissions,energy_consumed,n_samples
Phoneme,NaiveBayes,3.375,0.758727,0.790741,0.775201,0.768519,0.008845,1.595750e-01,4.768549e-07,2.459752e-06,5404
Phoneme,GradientBoost,3.8125,0.843896,0.872512,0.872847,0.873265,1.084868,6.445074e+00,1.477444e-05,7.621073e-05,5404
Phoneme,GradientBoost,3.8125,0.824550,0.864246,0.864616,0.866790,1.092541,6.445074e+00,1.477444e-05,7.621073e-05,5404
Phoneme,GradientBoost,3.8125,0.816042,0.852670,0.853413,0.854764,1.084139,6.445074e+00,1.477444e-05,7.621073e-05,5404
Phoneme,GradientBoost,3.8125,0.832800,0.869233,0.869683,0.871415,1.086199,6.445074e+00,1.477444e-05,7.621073e-05,5404
Phoneme,GradientBoost,3.8125,0.804019,0.845194,0.846008,0.848148,1.096962,6.445074e+00,1.477444e-05,7.621073e-05,5404
Phoneme,Neural,65.6875,0.842889,0.866177,0.864912,0.864015,11.298482,5.895372e+01,1.352286e-04,6.975473e-04,5404
Phoneme,Neural,65.6875,0.828006,0.860086,0.860579,0.861240,13.247359,5.895372e+01,1.352286e-04,6.975473e-04,5404
Phoneme,Neural,65.6875,0.831462,0.857461,0.856458,0.855689,11.038922,5.895372e+01,1.352286e-04,6.975473e-04,5404
Phoneme,Neural,65.6875,0.836336,0.867385,0.867890,0.868640,12.924279,5.895372e+01,1.352286e-04,6.975473e-04,5404
Phoneme,Neural,65.6875,0.814794,0.853091,0.853832,0.855556,9.445285,5.895372e+01,1.352286e-04,6.975473e-04,5404
Optdigits,Linear,2.4375,0.956289,0.956614,0.956410,0.956406,0.229177,2.231711e+00,5.109786e-06,2.635772e-05,5620
Optdigits,Linear,2.4375,0.967182,0.967325,0.967055,0.967082,0.207169,2.231711e+00,5.109786e-06,2.635772e-05,5620
Optdigits,Linear,2.4375,0.965404,0.965732,0.965436,0.965302,0.178951,2.231711e+00,5.109786e-06,2.635772e-05,5620
Optdigits,Linear,2.4375,0.978679,0.978714,0.978639,0.978648,0.311790,2.231711e+00,5.109786e-06,2.635772e-05,5620
Optdigits,Linear,2.4375,0.974112,0.974282,0.974146,0.974199,0.473785,2.231711e+00,5.109786e-06,2.635772e-05,5620
Optdigits,Forest,2.75,0.983033,0.983251,0.983105,0.983096,0.849162,4.901404e+00,1.123422e-05,5.794928e-05,5620
Optdigits,Forest,2.75,0.979589,0.979616,0.979453,0.979537,0.825257,4.901404e+00,1.123422e-05,5.794928e-05,5620
Optdigits,Forest,2.75,0.981327,0.981648,0.981376,0.981317,0.848588,4.901404e+00,1.123422e-05,5.794928e-05,5620
Optdigits,Forest,2.75,0.983999,0.984187,0.983991,0.983986,0.810687,4.901404e+00,1.123422e-05,5.794928e-05,5620
Optdigits,Forest,2.75,0.982117,0.982254,0.982164,0.982206,0.778853,4.901404e+00,1.123422e-05,5.794928e-05,5620
Optdigits,SupportVector,3.0,0.980337,0.981244,0.980543,0.980427,0.348204,3.035591e+00,6.953905e-06,3.587020e-05,5620
Optdigits,SupportVector,3.0,0.984061,0.984059,0.983945,0.983986,0.331706,3.035591e+00,6.953905e-06,3.587020e-05,5620
Optdigits,SupportVector,3.0,0.987562,0.987619,0.987535,0.987544,0.344214,3.035591e+00,6.953905e-06,3.587020e-05,5620
Optdigits,SupportVector,3.0,0.987593,0.987636,0.987548,0.987544,0.391593,3.035591e+00,6.953905e-06,3.587020e-05,5620
Optdigits,SupportVector,3.0,0.988446,0.988549,0.988449,0.988434,0.336751,3.035591e+00,6.953905e-06,3.587020e-05,5620
Optdigits,Neighbors,3.25,0.973201,0.973689,0.973323,0.973310,0.018983,1.133017e+00,2.589711e-06,1.335846e-05,5620
Optdigits,Neighbors,3.25,0.976064,0.976033,0.975884,0.975979,0.016053,1.133017e+00,2.589711e-06,1.335846e-05,5620
Optdigits,Neighbors,3.25,0.984006,0.983951,0.983945,0.983986,0.014237,1.133017e+00,2.589711e-06,1.335846e-05,5620
Optdigits,Neighbors,3.25,0.976925,0.977192,0.976896,0.976868,0.013945,1.133017e+00,2.589711e-06,1.335846e-05,5620
Optdigits,Neighbors,3.25,0.978647,0.978817,0.978585,0.978648,0.014036,1.133017e+00,2.589711e-06,1.335846e-05,5620
Optdigits,NaiveBayes,3.5000000000000004,0.672187,0.805641,0.663296,0.669929,0.035625,2.695591e-01,7.986135e-07,4.119473e-06,5620
Optdigits,NaiveBayes,3.5000000000000004,0.720996,0.817438,0.721592,0.719751,0.022948,2.695591e-01,7.986135e-07,4.119473e-06,5620
Optdigits,NaiveBayes,3.5000000000000004,0.649463,0.801194,0.631858,0.647687,0.019844,2.695591e-01,7.986135e-07,4.119473e-06,5620
Optdigits,NaiveBayes,3.5000000000000004,0.738676,0.825162,0.725674,0.737544,0.024031,2.695591e-01,7.986135e-07,4.119473e-06,5620
Optdigits,NaiveBayes,3.5000000000000004,0.754236,0.818493,0.736198,0.754448,0.019722,2.695591e-01,7.986135e-07,4.119473e-06,5620
Optdigits,GradientBoost,5.625,0.975873,0.976383,0.976043,0.975979,16.467906,8.865354e+01,2.033770e-04,1.049076e-03,5620
Optdigits,GradientBoost,5.625,0.976040,0.976173,0.975988,0.975979,18.023069,8.865354e+01,2.033770e-04,1.049076e-03,5620
Optdigits,GradientBoost,5.625,0.975993,0.976416,0.976078,0.975979,17.778186,8.865354e+01,2.033770e-04,1.049076e-03,5620
Optdigits,GradientBoost,5.625,0.979628,0.979735,0.979568,0.979537,17.839742,8.865354e+01,2.033770e-04,1.049076e-03,5620
Optdigits,GradientBoost,5.625,0.981209,0.981498,0.981267,0.981317,17.476896,8.865354e+01,2.033770e-04,1.049076e-03,5620
Optdigits,Neural,47.75,0.976757,0.976885,0.976842,0.976868,6.384832,3.290264e+01,7.547392e-05,3.893158e-04,5620
Optdigits,Neural,47.75,0.983208,0.983198,0.983088,0.983096,4.516935,3.290264e+01,7.547392e-05,3.893158e-04,5620
Optdigits,Neural,47.75,0.983121,0.983182,0.983116,0.983096,5.711695,3.290264e+01,7.547392e-05,3.893158e-04,5620
Optdigits,Neural,47.75,0.988439,0.988480,0.988434,0.988434,7.927947,3.290264e+01,7.547392e-05,3.893158e-04,5620
Optdigits,Neural,47.75,0.985673,0.985909,0.985759,0.985765,7.589038,3.290264e+01,7.547392e-05,3.893158e-04,5620
Eeg-eye-state,Linear,4.0625,0.568244,0.581190,0.572345,0.587116,0.115537,1.489489e+00,3.415602e-06,1.761864e-05,14980
Eeg-eye-state,Linear,4.0625,0.608108,0.622090,0.614053,0.624499,0.106055,1.489489e+00,3.415602e-06,1.761864e-05,14980
Eeg-eye-state,Linear,4.0625,0.575226,0.590110,0.578755,0.594793,0.097962,1.489489e+00,3.415602e-06,1.761864e-05,14980
Eeg-eye-state,Linear,4.0625,0.572003,0.587660,0.574770,0.592457,0.077198,1.489489e+00,3.415602e-06,1.761864e-05,14980
Eeg-eye-state,Linear,4.0625,0.551559,0.564465,0.553470,0.572430,0.072295,1.489489e+00,3.415602e-06,1.761864e-05,14980
Eeg-eye-state,Forest,4.5625,0.924473,0.928104,0.927364,0.927570,1.782793,1.014798e+01,2.328068e-05,1.200883e-04,14980
Eeg-eye-state,Forest,4.5625,0.930476,0.934197,0.933383,0.933578,1.791517,1.014798e+01,2.328068e-05,1.200883e-04,14980
Eeg-eye-state,Forest,4.5625,0.928918,0.932453,0.931720,0.931909,1.774783,1.014798e+01,2.328068e-05,1.200883e-04,14980
Eeg-eye-state,Forest,4.5625,0.925090,0.930017,0.928622,0.928905,1.823838,1.014798e+01,2.328068e-05,1.200883e-04,14980
Eeg-eye-state,Forest,4.5625,0.922805,0.926992,0.925989,0.926235,1.775321,1.014798e+01,2.328068e-05,1.200883e-04,14980
Eeg-eye-state,SupportVector,5.125,0.711095,0.741968,0.718692,0.728972,3.772782,2.572484e+01,5.904741e-05,3.045832e-04,14980
Eeg-eye-state,SupportVector,5.125,0.678565,0.702872,0.685474,0.695928,3.871976,2.572484e+01,5.904741e-05,3.045832e-04,14980
Eeg-eye-state,SupportVector,5.125,0.664319,0.733539,0.664168,0.691923,3.714570,2.572484e+01,5.904741e-05,3.045832e-04,14980
Eeg-eye-state,SupportVector,5.125,0.606385,0.657526,0.600270,0.635514,3.932336,2.572484e+01,5.904741e-05,3.045832e-04,14980
Eeg-eye-state,SupportVector,5.125,0.583846,0.633983,0.572190,0.615154,4.169748,2.572484e+01,5.904741e-05,3.045832e-04,14980
Eeg-eye-state,Neighbors,5.25,0.912732,0.913571,0.913560,0.913551,0.032279,2.192712e+00,5.030403e-06,2.594823e-05,14980
